English	Translation	Pinyin	Hiragana	Latin Letters	Part of Speech	Stamp	OriginLanguage
"hurt"	болеть			boletʹ	Noun	[]	Russian
"wait A Bit"	подожди			podoždi	Noun	[]	Russian
.. Can't Wait	待ちきれない		まちきれない		Noun	[]	Japanese
? Is It Quiet	тихо			tiho	Noun	[]	Russian
? Is The View	вид			vid	Noun	[]	Russian
‘ve Finished	束	shù			Noun	[]	Chinese
0.10 Yuan	毛	máo			Noun	[]	Chinese
000 Peseta Note	verdes				Noun	[]	Spanish
10 Days	十日		とおか		Noun	[]	Japanese
100 Percent	十足	shízú			Noun	[]	Chinese
100-Yen Shop	百円ショップ		ひゃくえんしょっぷ		Noun	[]	Japanese
11th	onzième				Adjective	[]	French
11th	одиннадцатый			odinnadcatyj	Noun	[]	Russian
12th	douzième				Adjective	[]	French
12th Day	十二日		じゅうににち		Noun	[]	Japanese
13th	treizième				Adjective	[]	French
14th	quatorzième				Adjective	[]	French
15th	quinzième				Adjective	[]	French
16th	seizième				Adjective	[]	French
17th	dix-septième				Adjective	[]	French
17th	семнадцатый			semnadcatyj	Noun	[]	Russian
18th	dix-huitième				Adjective	[]	French
19th	dix-neuvième				Adjective	[]	French
19th	девятнадцатый			devâtnadcatyj	Noun	[]	Russian
1st	一番		いちばん		Noun, Adverb	[]	Japanese
1st	primero				Noun	[]	Spanish
2 Days	二日		ふつか		Noun	[]	Japanese
2.47 Acres	l'hectare				Noun	[]	French
20 Days	二十日		はつか		Noun	[]	Japanese
20 Years Old	二十歳		はたち		Noun	[]	Japanese
20th	vingtième				Adjective	[]	French
20th	двадцатый			dvadcatyj	Noun	[]	Russian
27th Day	二十七日		にじゅうなのか		Noun	[]	Japanese
29th Date	二十九日		にじゅうここのか		Noun	[]	Japanese
29th Day	二十九日		にじゅうここのか		Noun	[]	Japanese
29th Of The Month	二十九日		にじゅうここのか		Noun	[]	Japanese
3 Days	三日		みっか		Noun	[]	Japanese
30th	trentième				Adjective	[]	French
30th Day	三十日		さんじゅうにち		Noun	[]	Japanese
3rd	troisième				Adjective	[]	French
3rd	третий			tretij	Noun	[]	Russian
4 Days	四日		よっか		Noun	[]	Japanese
4th	quatrième				Adjective	[]	French
4th	四日		よっか		Noun	[]	Japanese
5 Days	五日		いつか		Noun	[]	Japanese
6 Days	六日		むいか		Noun	[]	Japanese
6th	sixième				Adjective	[]	French
7 Days	七日		なのか		Noun	[]	Japanese
7th	septième				Adjective	[]	French
7th	седьмой			sedʹmoj	Noun	[]	Russian
8 Days	八日		ようか		Noun	[]	Japanese
8th	huitième				Adjective	[]	French
8th	восьмой			vosʹmoj	Noun	[]	Russian
9 Days	九日		ここのか		Noun	[]	Japanese
9th	девятый			devâtyj	Noun	[]	Russian
A Bad	плохой			plohoj	Noun	[]	Russian
A Bad	плохую			plohuû	Noun	[]	Russian
A Bag	пакет			paket	Noun	[]	Russian
A Bag	сумка			sumka	Noun	[]	Russian
A Baker	Bäckerin				Noun	[]	German
A Balcony	балкон			balkon	Noun	[]	Russian
A Balcony	un balcón				Noun	[]	Spanish
A Ball	мяч			mâč	Noun	[]	Russian
A Ballerina	балерина			balerina	Noun	[]	Russian
A Banker	Bankkauffrau				Noun	[]	German
A Banner	una guirnalda				Noun	[]	Spanish
A Bat	un murciélago				Noun	[]	Spanish
A Batch	un lote				Noun	[]	Spanish
A Bath	un baño				Noun	[]	Spanish
A Bathroom	туалет			tualet	Noun	[]	Russian
A Bathroom	un cuarto de baño				Noun	[]	Spanish
A Battle	битва			bitva	Noun	[]	Russian
A Beach	пляж			plâž	Noun	[]	Russian
A Beach Day	un día playero				Noun	[]	Spanish
A Beach Spade	una pala				Noun	[]	Spanish
A Bear	медведь			medvedʹ	Noun	[]	Russian
A Beautiful	красивое			krasivoe	Noun	[]	Russian
A Beautiful	красивый			krasivyj	Noun	[]	Russian
A Beautiful	прекрасный			prekrasnyj	Noun	[]	Russian
A Beauty	пре́лесть			prelest'	Verb	[]	Russian
A Beauty Treatment	un tratamiento de estética				Noun	[]	Spanish
A Bed	кровати			krovati	Noun	[]	Russian
A Bee	пчела			pčela	Noun	[]	Russian
A Better	лучше			lučše	Noun	[]	Russian
A Bicycle	велосипед			velosiped	Noun	[]	Russian
A Big	большое			bolʹšoe	Noun	[]	Russian
A Big	большой			bolʹšoj	Noun	[]	Russian
A Big	большую			bolʹšuû	Noun	[]	Russian
A Big Deal	大した		たいした		Pre-noun Adjectival	[]	Japanese
A Bike	велосипед			velosiped	Noun	[]	Russian
A Bikini	un bikini				Noun	[]	Spanish
A Bird	птица			ptica	Noun	[]	Russian
A Bird	птицы			pticy	Noun	[]	Russian
A Birthday	Geburtstag				Noun	[]	German
A Birthday	un cumpleaños				Noun	[]	Spanish
A Birthday Party	una fiesta de cumpleaños				Noun	[]	Spanish
A Bit	一下	yīxià			Verb	[]	Chinese
A Bit	一点	yì diǎn			Verb	[]	Chinese
A Bit	丝毫	sīháo			Verb	[]	Chinese
A Bit	有点	yǒu diǎn			Verb	[]	Chinese
A Bit	有点儿	yǒu diǎn ér			Verb	[]	Chinese
A Bit	peu				Noun	[]	French
A Bit	bisschen				Verb	[]	German
A Bit	ein bisschen				Verb	[]	German
A Bit	etwas				Verb	[]	German
A Bit	was				Verb	[]	German
A Bit	すこし		すこし		Noun	[]	Japanese
A Bit	少々		しょうしょう		Noun	[]	Japanese
A Bit	少し		すこし		Noun	[]	Japanese
A Bit	немного			nemnogo	Noun	[]	Russian
A Bit	слегка́			slegka	Noun	[]	Russian
A Bit	чуть-чуть			čutʹ-čutʹ	Noun	[]	Russian
A Bit	немножко			nemnozhko	Noun	[]	Russian
A Bit	слегка			slegka	Noun	[]	Russian
A Bit Bigger	побольше			pobolʹše	Noun	[]	Russian
A Bit Of	一点	yì diǎn			Noun	[]	Chinese
A Bit Of	ちょっと		ちょっと		Noun	[]	Japanese
A Bit Of	少々		しょうしょう		Noun	[]	Japanese
A Bit Of	少し		すこし		Noun	[]	Japanese
A Bit Of	немного			nemnogo	Noun	[]	Russian
A Bit Of	un poco de				Noun	[]	Spanish
A Bit Too	бо́льно			bol'no	Adverb	[]	Russian
A Bit Too	demasiado				Noun	[]	Spanish
