English	Chinese	Pinyin	Part of Speech
0.10 Yuan	毛	máo	Noun
100 Percent	十足	shízú	Noun
A Bit	一下	yīxià	Verb
A Bit	一点	yì diǎn	Verb
A Bit	丝毫	sīháo	Verb
A Bit	有点	yǒu diǎn	Verb
A Bit	有点儿	yǒu diǎn ér	Verb
A Bit Of	一点	yì diǎn	Noun
A Bookstore	书店	shū diàn	Noun
A Business Travel	出差	chūchāi	Noun
A Certain	某个	mǒu gè	Noun
A Certain	某种	mǒu zhǒng	Noun
A Certain Number Or Amount	若干	ruògān	Noun
A Contemptuous Disregard	不屑一顾	búxièyígù	Noun
A Cup Of	一杯	yī bēi	Noun
A Disability	残疾	cánjí	Noun
A Doll	娃娃	wáwa	Noun
A Few	一些	yī xiē	Interrogative Pronoun
A Few	一点	yì diǎn	Interrogative Pronoun
A Few	几	jǐ	Interrogative Pronoun
A Few	几个	jǐ gè	Interrogative Pronoun
A Few	几件	jǐ jiàn	Interrogative Pronoun
A Few	几只	jǐ zhī	Interrogative Pronoun
A Few	几场	jǐ chǎng	Interrogative Pronoun
A Few	几家	jǐ jiā	Interrogative Pronoun
A Few	几张	jǐ zhāng	Interrogative Pronoun
A Few	几本	jǐ běn	Interrogative Pronoun
A Few	几样	jǐ yàng	Interrogative Pronoun
A Few	几根	jǐ gēn	Interrogative Pronoun
A Few	几种	jǐ zhǒng	Interrogative Pronoun
A Few	几道	jǐ dào	Interrogative Pronoun
A Few	几门	jǐ mén	Interrogative Pronoun
A Few	几颗	jǐ kē	Interrogative Pronoun
A Few	好几个	hǎo jǐ gè	Interrogative Pronoun
A Few Days Ago	前几天	qián jǐ tiān	Noun
A Friend	朋友	péng yǒu	Noun
A Gift	礼物	lǐ wù	Noun
A Glass Of	一杯	yī bēi	Noun
A Hand	帮助	bāng zhù	Noun
A Key	重点	zhòngdiǎn	Noun
A Kitchen Stove	炉灶	lúzào	Noun
A Large Amount	大量	dà liàng	Noun
A Lifetime	一辈子	yíbèizi	Noun
A Literary Creation	创作	chuàngzuò	Noun
A Little	一点	yì diǎn	Noun
A Little	一点儿	yī diǎn ér	Noun
A Little	一点点	yì diǎn diǎn	Noun
A Little	有一点	yǒu yì diǎn	Noun
A Little	有点	yǒu diǎn	Noun
A Little	有点儿	yǒu diǎn ér	Noun
A Little	点	diǎn	Noun
A Little Bit	一点儿	yīdiǎnr	Adverb
A Little Bit Of	一点儿	yī diǎn ér	Noun
A Living Room	客厅	kètīng	Noun
A Long Time	很久	hěn jiǔ	Noun
A Long Time Ago	很久以前	hěn jiǔ yǐ qián	Noun
A Long Time Ago	是很久以前	shì hěn jiǔ yǐ qián	Noun
A Look	样子	yàngzi	Verb
A Lot	多	duō	Noun
A Lot	大	dà	Noun
A Lot	常常	cháng cháng	Noun
A Lot	很	hěn	Noun
A Lot	很多	hěn duō	Noun
A Lot	经常	jīng cháng	Noun
A Lot	许多	xǔduō	Noun
A Lot	非常	fēi cháng	Noun
A Lot Of	很多	hěn duō	Noun
A Lot Of	许多	xǔduō	Noun
A Martial Art	武术	wǔshù	Noun
A Minute	一分钟	yì fēn zhōng	Noun
A Moment	片刻	piànkè	Noun
A Number Of	许多	xǔduō	Noun
A Piece Of	一片	yī piàn	Noun
A Pressing Matter Of The Moment	当务之急	dāngwùzhījí	Noun
A Professional	专家	zhuān jiā	Noun
A Quarter Past	过一刻	guò yī kè	Noun
A Quarter To	差一刻	chà yī kè	Noun
A Review	检讨	jiǎntǎo	Noun
A Round Of Applause	鼓掌	gǔ zhǎng	Noun
A Shame	遗憾	yí hàn	Noun
A Side Of	配一份	pèi yī fèn	Noun
A Skirt	裙子	qún zi	Noun
A Small Amount	少许	shǎo xǔ	Noun
A Steal	超值	chāo zhí	Noun
A Supermarket	市	shì	Noun
A Surprise Attack	袭击	xíjī	Noun
A System Of Breathing Technique	气功	qìgōng	Noun
A Thing	任何事情	rèn hé shì qíng	Noun
A Tv	电视	diàn shì	Noun
A While	一会儿	yíhuìr	Adjective
A While	片刻	piànkè	Adjective
A Whole Day	一整天	yī zhěng tiān	Noun
A Whole Lot	多得多	duō dé duō	Noun
Abandon	丢弃	diū qì	Verb
Abandon	抛弃	pāo qì	Verb
Abandon	放弃	fàng qì	Verb
Abandoning	放弃	fàng qì	Verb
Abdomen	腹部	fù bù	Noun
Ability	之力	zhī lì	Noun
Ability	实力	shí lì	Noun
Ability	对能	duì néng	Noun
Ability	底才	dǐ cái	Noun
Ability	才智	cái zhì	Noun
Ability	才艺	cái yì	Noun
Ability	本事	běnshi	Noun
Ability	本领	běnlǐng	Noun
Ability	能力	néng lì	Noun
Able To	能	néng	Noun
Able To	能够	néng gòu	Noun
Abnormal	不对劲儿	bù duì jìn ér	Adjective
Abnormal	反常	fǎncháng	Adjective
Abnormal	异常	yìcháng	Adjective
Abolish	废除	fèichú	Noun
Abound In	盛产	shèngchǎn	Preposition
About	中约	zhōng yuē	Adverb
About	为	wèi	Adverb
About	关于	guān yú	Adverb
About	前后	qián hòu	Adverb
About	围着	wéi zhe	Adverb
About	大概	dà gài	Adverb
About	大约	dà yuē	Adverb
About	对	duì	Adverb
About	对于	duìyú	Adverb
About	对花	duì huā	Adverb
About	左右	zuǒ yòu	Adverb
About	差不多	chà bù duō	Adverb
About	感到	gǎn dào	Adverb
About	有关	yǒu guān	Adverb
About	样	yàng	Adverb
About	的	de	Adverb
About	的情况	de qíng kuàng	Adverb
About	跟	gēn	Adverb
About The Same	不相上下	bùxiāngshàngxià	Noun
About To	即将	jí jiāng	Noun
About To	将要	jiāng yào	Noun
About To	正要	zhèng yào	Noun
About-Face	转身	zhuǎn shēn	Noun
Above	上方	shàng fāng	Noun
Above	上面	shàng miàn	Noun
Above	以上	yǐ shàng	Noun
Above	在	zài	Noun
Above	的上方	de shàng fāng	Noun
Above	高于	gāo yú	Noun
Abroad	出国	chū guó	Noun
Abroad	国外	guó wài	Noun
Abs	腹肌	fù jī	Noun
Absent	缺席	quē xí	Adjective
Absenteeism	旷课	kuàngkè	Noun
Absolutely	完全地	wán quán dì	Adverb
Absolutely	绝对	jué duì	Adverb
Absolutely	绝对地	jué duì dì	Adverb
Absolutely Do Not	千万别	qiān wàn bié	Noun
Absolutely Not	完全不	wán quán bù	Noun
Absolutely Not	绝对不行	jué duì bù xíng	Noun
Absorb	吸收	xīshōu	Noun
Absorb	消化	xiāo huà	Noun
Abstain From Alcohol	戒酒	jiè jiǔ	Noun
Abstain From Meat	吃素	chī sù	Noun
Abstract	抽象	chōu xiàng	Adjective
Abstract	提炼	tíliàn	Adjective
Abstract	摘要	zhāiyào	Adjective
Absurd	荒唐	huāngtáng	Noun
Abundant	充沛	chōngpèi	Adjective
Abundant	雄厚	xiónghòu	Adjective
Academic	学术	xué shù	Noun
Academic	学术的	xué shù de	Noun
Academic Calendar	校历	xiào lì	Noun
Academic Degree	学位	xuéwèi	Noun
Accelerate	加速	jiā sù	Noun
Acceleration	加速	jiā sù	Noun
Accent	口音	kǒu yīn	Noun
Accept	信奉	xìn fèng	Verb
Accept	信服	xìn fú	Verb
Accept	听取	tīng qǔ	Verb
Accept	容得	róng dé	Verb
Accept	已获	yǐ huò	Verb
Accept	录取	lù qǔ	Verb
Accept	录用	lù yòng	Verb
Accept	忍着	rěn zhe	Verb
Accept	恕	shù	Verb
Accept	承认	chéng rèn	Verb
Accept	接	jiē	Verb
Accept	接受	jiē shòu	Verb
Accept	接过	jiē guò	Verb
Accept	揽	lǎn	Verb
Accept	收下	shōu xià	Verb
Accept	自认	zì rèn	Verb
Accept	负起	fù qǐ	Verb
Accept	采纳	cǎi nà	Verb
Accept	释怀	shì huái	Verb
Accept	领了	lǐng le	Verb
Acceptable	可接受	kě jiē shòu	Noun
Acceptance	包容	bāo róng	Noun
Accepted	公认	gōngrèn	Verb
Accepted	收	shōu	Verb
Access The Internet	上网	shàng wǎng	Noun
Accessible	可到达的	kě dào dá de	Noun
Accident	事故	shì gù	Noun
Accident	失事	shīshì	Noun
Accident	巧合	qiǎo hé	Noun
Accident	意外	yì wài	Noun
Accident	祸	huò	Noun
Accident	车祸	chē huò	Noun
Accidental	偶然	ǒurán	Adjective
Accidentally	不小心	bù xiǎo xīn	Adverb
Accidentally	偶然	ǒu rán	Adverb
Accidentally	意外地	yì wài dì	Adverb
Accommodate	容纳	róngnà	Verb
Accommodation	住宿	zhù sù	Noun
Accommodations	住宿	zhù sù	Noun
Accompany	陪	péi	Verb
Accompany	陪伴	péi bàn	Verb
Accomplish	做到	zuò dào	Noun
Accomplish	取得	qǔ dé	Noun
Accomplish	完成	wán chéng	Noun
Accomplishment	成就	chéng jiù	Noun
Accord With	符合	fúhé	Preposition
According To	按照	ànzhào	Preposition
According To	根据	gēn jù	Preposition
According To	顺着	shùn zhe	Preposition
Account	报道	bào dào	Noun
Account	账号	zhàng hào	Noun
Account	账户	zhàng hù	Noun
Account For	交代	jiāo dài	Noun
Account For	占	zhàn	Noun
Account Opening	开户	kāi hù	Noun
Accountant	会计	huì jì	Noun
Accountant	会计师	kuài jì shī	Noun
Accounting	会计	huì jì	Verb
Accrual	利息	lìxī	Noun
Accumulate	积累	jī lèi	Noun
Accumulate	积蓄	jī xù	Noun
Accumulate Funds	积蓄	jī xù	Noun
Accumulation	堆积	duījī	Noun
Accumulation	积累	jīlěi	Noun
Accuracy	准确	zhǔnquè	Noun
Accurate	准确	zhǔn què	Adjective
Accurate	精确	jīngquè	Adjective
Accusation	指控	zhǐ kòng	Noun
Accuse	指责	zhǐ zé	Verb
Accuse	谴责	qiǎnzé	Verb
Accuser	原告	yuángào	Noun
Ache	疼	téng	Noun
Ache	疼痛	téng tòng	Noun
Achieve	中得	zhōng dé	Verb
Achieve	做到	zuò dào	Verb
Achieve	做成	zuò chéng	Verb
Achieve	创下	chuàng xià	Verb
Achieve	办成	bàn chéng	Verb
Achieve	实现	shí xiàn	Verb
Achieve	干成	gàn chéng	Verb
Achieve	成有	chéng yǒu	Verb
Achieve	打成	dǎ chéng	Verb
Achieve	练出	liàn chū	Verb
Achieve	能拿个	néng ná gè	Verb
Achieve	起到	qǐ dào	Verb
Achieve	达到	dá dào	Verb
Achieve	迎来	yíng lái	Verb
Achievement	成就	chéng jiù	Noun
Achievement	成果	chéng guǒ	Noun
Achievement	成绩	chéngjì	Noun
Achievements	成果	chéngguǒ	Noun
Achieves	实现	shí xiàn	Noun
Acid	酸	suān	Noun
Acknowledge	打招呼	dǎ zhāo hū	Verb
Acknowledge	理睬	lǐcǎi	Verb
Acquaintance	熟人	shú rén	Noun
Acquire	收购	shōu gòu	Noun
Acquiring	收购	shōu gòu	Verb
Acquisition	收购	shōu gòu	Noun
Acrobatics	杂技	zájì	Noun
Across	对面	duì miàn	Noun
Across	穿过	chuān guò	Noun
Across From	在对面	zài duì miàn	Noun
Across From	对面	duì miàn	Noun
Act	举动	jǔdòng	Noun
Act	幕	mù	Noun
Act	演	yǎn	Noun
Act	演得	yǎn dé	Noun
Act	表演	biǎo yǎn	Noun
Act As	充当	chōngdāng	Conjunction
Act As If	假装	jiǎ zhuāng	Noun
Act Recklessly And Care For Nobody	肆无忌惮	sìwújìdàn	Noun
Acting Skills	演技	yǎn jì	Noun
Action	动作	dòng zuò	Noun
Action	动头	dòng tóu	Noun
Action	行动	xíng dòng	Noun
Action	里动	lǐ dòng	Noun
Activate	启动	qǐ dòng	Noun
Activate	开通	kāi tōng	Noun
Activate	激活	jī huó	Noun
Activated	启动	qǐ dòng	Verb
Active	主动	zhǔdòng	Adjective
Active	活跃	huó yuè	Adjective
Actively	主动	zhǔ dòng	Adverb
Activities	活动	huó dòng	Noun
Activity	活动	huódòng	Noun
Activity Room	活动室	huó dòng shì	Noun
Actor	演员	yǎn yuán	Noun
Actor	电影演员	diàn yǐng yǎn yuán	Noun
Actor	男演员	nán yǎn yuán	Noun
Actual	实际	shíjì	Adjective
Actually	倒是	dào shì	Adverb
Actually	其实	qí shí	Adverb
Actually	实际上	shí jì shàng	Adverb
Actually	居然	jū rán	Adverb
Actually	究竟	jiū jìng	Adverb
Actually	竟然	jìng rán	Adverb
Ad	公元	gōng yuán	Noun
Ad	广告	guǎng gào	Noun
Adapt	改编	gǎi biān	Verb
Adapt	融入	róng rù	Verb
Adapt	适应	shì yīng	Verb
Adaptability	适应力	shì yīng lì	Noun
Add	一提	yī tí	Verb
Add	上些	shàng xiē	Verb
Add	上加	shàng jiā	Verb
Add	他加	tā jiā	Verb
Add	加	jiā	Verb
Add	加以	jiā yǐ	Verb
Add	加冰	jiā bīng	Verb
Add	加建	jiā jiàn	Verb
Add	加进	jiā jìn	Verb
Add	增多	zēng duō	Verb
Add	增添	zēngtiān	Verb
Add	增设	zēng shè	Verb
Add	多放	duō fàng	Verb
Add	并加	bìng jiā	Verb
Add	建了	jiàn le	Verb
Add	我加	wǒ jiā	Verb
Add	撒	sā	Verb
Add	撒上	sā shàng	Verb
Add	放盐	fàng yán	Verb
Add	新增	xīn zēng	Verb
Add	来列	lái liè	Verb
Add	添	tiān	Verb
Add	添上	tiān shàng	Verb
Add	添加	tiān jiā	Verb
Add	添置	tiān zhì	Verb
Add	相加	xiāng jiā	Verb
Add	补充	bǔ chōng	Verb
Add	里加	lǐ jiā	Verb
Add	附上	fù shàng	Verb
Add To	增多	zēng duō	Noun
Addiction	上瘾	shàngyǐn	Noun
Addiction	中毒	zhōng dú	Noun
Additional	额外	éwài	Adjective
Additionally	还有	hái yǒu	Adverb
Additive	添加物	tiān jiā wù	Noun
Address	住址	zhù zhǐ	Noun
Address	发言	fā yán	Noun
Address	地址	de zhǐ	Noun
Adds	加	jiā	Noun
Adequate	充足	chōngzú	Verb
Adhere	坚持	jiān chí	Noun
Adjust	习惯	xí guàn	Verb
Adjust	修整	xiū zhěng	Verb
Adjust	修正	xiū zhèng	Verb
Adjust	协调	xié diào	Verb
Adjust	改变	gǎi biàn	Verb
Adjust	整理	zhěng lǐ	Verb
Adjust	矫正	jiǎo zhèng	Verb
Adjust	调	diào	Verb
Adjust	调制	tiáo zhì	Verb
Adjust	调整	diào zhěng	Verb
Adjust	调节	tiáojié	Verb
Adjust	适应	shì yīng	Verb
Adjustment	调整	tiáozhěng	Noun
Administer An Injection	打针	dǎ zhēn	Noun
Administering Iv	输液	shū yè	Noun
Administration	管理	guǎnlǐ	Noun
Administration	行政	xíngzhèng	Noun
Admirable	令人钦佩的	lìng rén qīn pèi de	Noun
Admire	仰	yǎng	Verb
Admire	佩	pèi	Verb
Admire	佩服	pèi fú	Verb
Admire	夸	kuā	Verb
Admire	崇拜	chóng bài	Verb
Admire	心仪	xīn yí	Verb
Admire	惊叹	jīng tàn	Verb
Admire	惊叹不已	jīng tàn bù yǐ	Verb
Admire	推崇	tuī chóng	Verb
Admire	敬佩	jìng pèi	Verb
Admire	敬重	jìng zhòng	Verb
Admire	欣赏	xīn shǎng	Verb
Admire	称赞	chēngzàn	Verb
Admire	赏	shǎng	Verb
Admire	赞叹	zàntàn	Verb
Admire	赞赏	zàn shǎng	Verb
Admire	钦佩	qīnpèi	Verb
Admission	入场费	rù chǎng fèi	Noun
Admission	入学	rù xué	Noun
Admission Ticket	门票	mén piào	Noun
Admit	容纳	róngnà	Verb
Admit	录取	lù qǔ	Verb
Admit	承认	chéng rèn	Verb
Admit	收治	shōu zhì	Verb
Admit	自认	zì rèn	Verb
Admit	选进	xuǎn jìn	Verb
Admittedly	诚然	chéng rán	Adverb
Adopt	收养	shōu yǎng	Noun
Adopt	采取	cǎiqǔ	Noun
Adopt	采用	cǎi yòng	Noun
Adopt	采纳	cǎi nà	Noun
Adopt	领养	lǐng yǎng	Noun
Adorable	可爱	kě ài	Noun
Adult	大人	dà rén	Noun
Adult	成人	chéng rén	Noun
Adult	成年	chéng nián	Noun
Adult	成年人	chéng nián rén	Noun
Adulthood	成年	chéng nián	Noun
Advance	推进	tuī jìn	Noun
Advanced	先进	xiān jìn	Adjective
Advanced	高级	gāojí	Adjective
Advancing To A Higher Level Of Education	升学	shēng xué	Noun
Advantage	优势	yōu shì	Noun
Advantage	优点	yōu diǎn	Noun
Advantage	好处	hǎo chù	Noun
Adventure	冒险	màoxiǎn	Noun
Adverse	恶劣	èliè	Noun
Advertise	推销	tuī xiāo	Noun
Advertisement	广告	guǎng gào	Noun
Advertising	广告	guǎng gào	Verb
Advice	建议	jiàn yì	Noun
Advise	劝	quàn	Noun
Advise	建议	jiàn yì	Noun
Adviser	顾问	gùwèn	Noun
Advocate	倡导	chàngdǎo	Verb
Aerobic	有氧	yǒu yǎng	Noun
Affair	事务	shìwù	Noun
Affair	事向	shì xiàng	Noun
Affair	事项	shìxiàng	Noun
Affair	名堂	míng táng	Noun
Affair	回事	huí shì	Noun
Affair	外遇	wài yù	Noun
Affair	婚外情	hūn wài qíng	Noun
Affair	恋情	liàn qíng	Noun
Affair	点事	diǎn shì	Noun
Affect	影响	yǐng xiǎng	Noun
Affect	打动	dǎ dòng	Noun
Affected	影响	yǐng xiǎng	Verb
Affecting	影响	yǐng xiǎng	Verb
Affectionate	亲热	qīnrè	Verb
Affects	影响	yǐng xiǎng	Noun
Affiliate With	交往	jiāowǎng	Preposition
Affix To	签署	qiānshǔ	Preposition
Affluent	富裕	fùyù	Noun
Afford	买得起	mǎi de qǐ	Noun
Afford	付得	fù dé	Noun
Afford	住得起	zhù dé qǐ	Noun
Afford	够买	gòu mǎi	Noun
Afford	负担	fù dān	Noun
Afford	负担得起	fù dān dé qǐ	Noun
Afford To	负担得起	fù dān dé qǐ	Noun
Affordable	实惠	shí huì	Noun
Afraid	害怕	hài pà	Noun
Afraid	害怕的	hài pà de	Noun
Afraid	怕	pà	Noun
Afraid Of	害怕	hài pà	Noun
Afraid Of	很怕	hěn pà	Noun
Afraid Of	怕	pà	Noun
Africa	非洲	fēi zhōu	Noun
African	非洲	fēi zhōu	Noun
After	之后	zhī hòu	Preposition
After	以后	yǐ hòu	Preposition
After	后	hòu	Preposition
After	听完后	tīng wán hòu	Preposition
After	在之后	zài zhī hòu	Preposition
After	当	dāng	Preposition
