English	French	Part of Speech
11th	onzième	Adjective
12th	douzième	Adjective
13th	treizième	Adjective
14th	quatorzième	Adjective
15th	quinzième	Adjective
16th	seizième	Adjective
17th	dix-septième	Adjective
18th	dix-huitième	Adjective
19th	dix-neuvième	Adjective
2.47 Acres	l'hectare	Noun
20th	vingtième	Adjective
30th	trentième	Adjective
3rd	troisième	Adjective
4th	quatrième	Adjective
6th	sixième	Adjective
7th	septième	Adjective
8th	huitième	Adjective
A Bit	peu	Noun
A Bottle Of Water	d'eau	Noun
A Case	plaider	Verb
A Child	élever	Verb
A Customer	servir	Verb
A Device	éteindre	Verb
A Disease	attraper	Verb
A Distance	parcourir	Verb
A Doctor	consulter	Verb
A Few	quelque	Adjective
A Few	quelques	Adjective
A Few	quelques-unes	Adjective
A Few	quelques-uns	Pronoun
A Food	goûter	Verb
A Goal	marquer	Verb
A Goal/point	marquer	Verb
A Hole	reboucher	Verb
A Hundred	cent	Numeral
A Little	peu	Noun
A Little	un peu d'	Noun
A Little After	peu après	Noun
A Long Time	longtemps	Adverb
A Lot	beaucoup	Adverb
A Lot	cher	Adverb
A Party	une fête	Noun
A Piece Of	une pièce de	Noun
A Quarter-Litre Bottle	quart	Noun
A Quarter-Litre Pitcher	quart	Noun
A Round Of Applause	un tonnerre d'applaudissements	Noun
A Round Of Applause	une salve d'applaudissements	Noun
A Shame	dommage	Noun
A Single	aucun	Noun
A Single	aucune	Noun
A Smell	sentir	Verb
A Sport/game	jouer	Verb
A Steal	affaire	Noun
A Student	étudiante	Noun
A Thing	affaire	Noun
A Thing	chose	Noun
A Thing	machin	Noun
A Thing	objet	Noun
A Thing	rien	Noun
A Thing	truc	Noun
A Ton	beaucoup	Noun
A Ton	très lourd	Noun
A Ton	un poids énorme	Noun
A Tooth	arracher	Verb
A Vehicle	garer	Verb
A Whole Lot	beaucoup	Noun
Abandon	abandonne	Noun
Abandon	abandonner	Noun
Abandon	abandonnerais	Noun
Abandon	abandonneriez	Noun
Abandon	abandonneront	Noun
Abandon	abandonnes	Noun
Abandon	abandonnez	Noun
Abandon	abandonnons	Noun
Abandon	arrêter	Noun
Abandon	arrêterais	Noun
Abandon	arrêteriez	Noun
Abandon	arrêteront	Noun
Abandon	arrêtes	Noun
Abandon	arrêtez	Noun
Abandon	arrêtons	Noun
Abandon	délaisser	Noun
Abandon	délaisserais	Noun
Abandon	délaisseriez	Noun
Abandon	délaisseront	Noun
Abandon	délaisses	Noun
Abandon	délaissez	Noun
Abandon	délaissons	Noun
Abandon	n'abandonnerait	Noun
Abandon	quitteras	Noun
Abandon	renoncer à	Noun
Abandon	renoncerais à	Noun
Abandon	renonceriez à	Noun
Abandon	renonceront à	Noun
Abandon	renonces à	Noun
Abandon	renoncez à	Noun
Abandon	renonçons à	Noun
Abandoned	à l'abandon	Verb
Abbey	l'abbaye	Noun
Abide	rester	Noun
Abide	supporter	Noun
Abilities	moyens	Noun
Ability	aptitudes	Noun
Ability	capacité	Noun
Ability	compétence	Noun
Ability	compétences	Noun
Ability	facilite	Noun
Ability	l'aptitude	Noun
Ability	l'habileté	Noun
Ability	la capacité	Noun
Ability	moyenne	Noun
Ability	pouvoir	Noun
Ability	talent	Noun
Able To	pouvais	Noun
Able To	pouvoir	Noun
About	auquel	Adverb
About	aux	Adverb
About	auxquelles	Adverb
About	auxquels	Adverb
About	d'	Adverb
About	dans	Adverb
About	de l'	Adverb
About	des	Adverb
About	dont	Adverb
About	d’	Adverb
About	environ	Adverb
About	pour	Adverb
About	sur	Adverb
About	vers	Adverb
About	à	Adverb
About	à laquelle	Adverb
About	à peu près	Adverb
About	à propos	Adverb
About	à propos de	Adverb
About A Hundred	centaine	Noun
About Fifty	cinquantaine	Noun
About It	m'y	Noun
About One Hundred	centaine	Noun
About Ten	dizaine	Noun
About That	là-dessus	Noun
About The	des	Noun
About Twenty	vingtaine	Noun
Above	au-dessus	Noun
Above All	surtout	Adverb
Abroad	l'étranger	Noun
Abroad	l’étranger	Noun
Abroad	à l'étranger	Noun
Abruptly	soudainement	Adverb
Abs	abdominaux	Noun
Absence	absence	Noun
Absent	absent	Noun
Absentees	absent	Noun
Absolute	sacré	Adjective
Absolutely	absolument	Adverb
Absolutely	complètement	Adverb
Absolutely Positive	sûr et certain	Noun
Abstract	abstrait	Adjective
Absurd	absurde	Noun
Abundant	abondant	Adjective
Academic	-elle	Adjective
Academic	académique	Adjective
Academic	bien coté	Adjective
Academic	intellectuel	Adjective
Academic	scolaire	Adjective
Academic	théorique	Adjective
Academic	universitaire	Adjective
Accent	l'accent	Noun
Accept	accepte	Noun
Accept	acceptent	Noun
Accept	accepter	Noun
Accept	accepteraient	Noun
Accept	accepteriez	Noun
Accept	acceptes	Noun
Accept	acceptez	Noun
Accept	acceptons	Noun
Accept	admettons	Noun
Accept	admise	Noun
Accept	assume	Noun
Accept	assumer	Noun
Accept	assumerez	Noun
Accept	assumons	Noun
Accept	assumé	Noun
Accept	j'acceptais	Noun
Accept	j'accepte	Noun
Accept	j'accepterai	Noun
Accept	j'admets	Noun
Accept	j’accepte	Noun
Accept	j’admets	Noun
Accept	l'acceptez	Noun
Accept	l'admets	Noun
Accept	l'admettaient	Noun
Accept	l'admettait	Noun
Accept	m'acceptent	Noun
Accept	m'accepteront	Noun
Accept	n'accepte	Noun
Accept	n'acceptent	Noun
Accept	n'accepterait	Noun
Accept	n'acceptons	Noun
Accept	n'admets	Noun
Accept	n'admettaient	Noun
Accept	n'admettait	Noun
Accept	n'admettront	Noun
Accept	n'approuve	Noun
Accept	n'assument	Noun
Accept	tolère	Noun
Accept	tolérerai	Noun
Acceptable	acceptable	Noun
Acceptance	la tolérance	Noun
Accepted	accepter	Verb
Accepting	accepter	Verb
Accessible	accessibles	Noun
Accessible	adapté	Noun
Accessible	adaptée	Noun
Accessible	adaptées	Noun
Accessible	adaptés	Noun
Accessory	accessoire	Noun
Accessory	d'accessoires	Noun
Accident	collision	Noun
Accident	contretemps	Noun
Accident	coïncidence	Noun
Accident	mégarde	Noun
Accidentally	accidentellement	Adverb
Accommodate	loger	Noun
Accommodating	arrangeant	Verb
Accommodation	l'hébergement	Noun
Accommodations	hébergement	Noun
Accompany	accompagner	Noun
Accomplish	accomplir	Noun
Accomplish	accomplira	Noun
Accomplish	accomplirait	Noun
Accomplish	accomplirons	Noun
Accomplish	accomplissant	Noun
Accomplish	accomplissons	Noun
Accomplish	accomplit	Noun
Accomplish	achevée	Noun
Accomplish	achevées	Noun
Accomplish	achevés	Noun
Accomplish	effectuais	Noun
Accomplish	effectue	Noun
Accomplish	effectuerez	Noun
Accomplish	effectuez	Noun
Accomplish	réaliser	Noun
Accomplish	réalisera	Noun
Accomplish	réaliserait	Noun
Accomplish	réaliserons	Noun
Accomplish	réaliseront	Noun
Accomplish	réalisons	Noun
Accomplish	réalisée	Noun
Accomplishment	accomplissement	Noun
Accomplishment	accomplissements	Noun
Accomplishment	achèvement	Noun
Accomplishment	exploit	Noun
Accomplishment	exploits	Noun
Accomplishment	réalisations	Noun
Accomplishment	réussite	Noun
Accomplishment	réussites	Noun
Accomplishment	talent	Noun
According To	d'après	Preposition
According To	selon	Preposition
Accordion	accordéon	Noun
Accordion	l'accordéon	Noun
Account	compte	Noun
Accountability	la responsabilité	Noun
Accountant	comptable	Noun
Accounting	comptabilité	Verb
Accounting	comptable	Verb
Accumulation	addition	Noun
Accurate	précis	Adjective
Accusation	charge	Noun
Accusation	reproches	Noun
Accuse	accusant	Noun
Accuse	accuser	Noun
Accuse	accuses	Noun
Accuse	accusez	Noun
Accuse	l'accusait	Noun
Accuse	l'accuse	Noun
Accuse	m'accuse	Noun
Accuse	m'accusez	Noun
Accusing	accuser	Verb
Accustomed To	l'habitude	Noun
Ache	brûle	Noun
Ache	brûler	Noun
Ache	chagrin	Noun
Ache	douleur	Noun
Ache	maux	Noun
Achieve	accomplissant	Noun
Achieve	accomplissons	Noun
Achieve	accomplit	Noun
Achieve	achevée	Noun
Achieve	achevées	Noun
Achieve	achevés	Noun
Achieve	arrive à	Noun
Achieve	arriver à	Noun
Achieve	arrivons à	Noun
Achieve	atteigne	Noun
Achieve	atteignent	Noun
Achieve	atteignons	Noun
Achieve	atteignons à	Noun
Achieve	atteindre	Noun
Achieve	atteindre à	Noun
Achieve	atteint	Noun
Achieve	atteint à	Noun
Achieve	j'obtiendrai	Noun
Achieve	j'obtiens	Noun
Achieve	j’obtiendrai	Noun
Achieve	n'atteigne	Noun
Achieve	n'obtiendrez	Noun
Achieve	n'obtient	Noun
Achieve	obtenir	Noun
Achieve	obtenons	Noun
Achieve	obtient	Noun
Achieve	parvenez	Noun
Achieve	parvenir	Noun
Achieve	parviendront	Noun
Achieve	parviens	Noun
Achieve	qu'obtiennent	Noun
Achieve	remporte	Noun
Achieve	remporter	Noun
Achieve	remportions	Noun
Achieve	remportons	Noun
Achieve	remportées	Noun
Achieve	réalisais	Noun
Achieve	réalise	Noun
Achieve	réaliser	Noun
Achieve	réaliseront	Noun
Achieve	réalisons	Noun
Achieve	réalisée	Noun
Achieve	réalisées	Noun
Achieve	réussir	Noun
Achieve	réussissons	Noun
Achieve	réussit	Noun
Achievement	accomplissement	Noun
Achievement	accomplissements	Noun
Achievement	achèvement	Noun
Achievement	d'accomplissement	Noun
Achievement	d’exploits	Noun
Achievement	exploit	Noun
Achievement	exploits	Noun
Achievement	jalon	Noun
Achievement	l'accomplissement	Noun
Achievement	l'exploit	Noun
Achievement	l'obtention	Noun
Achievement	l'œuvre	Noun
Achievement	la réussite	Noun
Achievement	l’achèvement	Noun
Achievement	l’obtention	Noun
Achievement	l’œuvre	Noun
Achievement	obtention	Noun
Achievement	réalisation	Noun
Achievement	réalisations	Noun
Achievement	réussites	Noun
Achieving	atteindre	Verb
Achieving	réaliser	Verb
Acid	acide	Noun
Acidic	acide	Adjective
Acquaintance	connaissance	Noun
Acquisition	l'apprentissage	Noun
