English	German	Part of Speech
A Baker	Bäckerin	Noun
A Banker	Bankkauffrau	Noun
A Birthday	Geburtstag	Noun
A Bit	bisschen	Verb
A Bit	ein bisschen	Verb
A Bit	etwas	Verb
A Bit	was	Verb
A Chancellor	Kanzlerin	Noun
A Chef	der Koch	Noun
A Chef	Koch	Noun
A Chef	Köchin	Noun
A Cook	der Koch	Noun
A Cook	Koch	Noun
A Cook	Köchin	Noun
A Cough	der Husten	Noun
A Cough	Husten	Noun
A Dentist	der Zahnarzt	Noun
A Dentist	Zahnarzt	Noun
A Doctor	Ärztin	Noun
A Farmer	Bauer	Noun
A Farmer	Bäuerin	Noun
A Few	ein paar	Interrogative Pronoun
A Few	einige	Interrogative Pronoun
A Few	einigen	Interrogative Pronoun
A Few	manche	Interrogative Pronoun
A Few	wenig	Interrogative Pronoun
A Fight	Streit	Noun
A Flight Attendant	Flugbegleiter	Noun
A Foreigner	Ausländer	Noun
A German	Deutsche	Noun
A Guitar Player	Gitarrist	Noun
A Hand	die Hand	Noun
A Hand	die Hilfe	Noun
A Hand	die Unterstützung	Noun
A Hand	eine Hand	Noun
A Hand	Hand	Noun
A Hand	Hilfe	Noun
A Hand	Unterstützung	Noun
A Handyman	Handwerker	Noun
A Hundred	Hundert	Noun
A Journalist	Journalist	Noun
A Lawyer	Anwalt	Noun
A Lawyer	Anwältin	Noun
A Little	bisschen	Verb
A Little	die Kleine	Noun
A Little	ein bisschen	Verb
A Little	ein kleines	Verb
A Little	eine kleine	Verb
A Little	eine kleinen	Verb
A Little	etwas	Verb
A Lot	eine Menge	Noun
A Lot Of	eine Menge	Noun
A Mechanic	Mechaniker	Noun
A Member	das Mitglied	Noun
A Member	Mitglied	Noun
A Motorcycle	Motorrad	Noun
A Musician	Musiker	Noun
A Number Of	eine Reihe von	Noun
A Nurse	Krankenpfleger	Noun
A Nurse	Krankenschwester	Noun
A Painter	Maler	Noun
A Photographer	Fotograf	Noun
A Piano Player	Pianist	Noun
A Piece Of	ein Abschnitt	Noun
A Piece Of	ein Brocken	Noun
A Piece Of	ein Stück	Noun
A Piece Of	ein Stückchen	Noun
A Piece Of	ein Teil	Noun
A Pilot	Pilot	Noun
A Police Officer	Polizist	Noun
A Professor	Professor	Noun
A Professor	Professorin	Noun
A Quarter	das Viertel	Noun
A Quarter	Viertel	Noun
A Ride	die Runde	Noun
A Ride	eine Fahrt	Noun
A Ride	eine Mitfahrt	Noun
A Ride	eine Runde	Noun
A Ride	eine Spritztour	Noun
A Ride	eine Tour	Noun
A Ride	Mitfahrgelegenheit	Noun
A Round Of Applause	Applaus	Noun
A Secretary	Sekretär	Noun
A Side Of	eine Beilage	Noun
A Staff	Mitarbeiter	Noun
A Steal	das Schnäppchen	Noun
A Steal	ein Schnäppchen	Noun
A Student	Studentin	Noun
A Taxi Driver	Taxifahrer	Noun
A Teacher	Lehrer	Noun
A Teacher	Lehrerin	Noun
A Ton	die Tonne	Noun
A Ton	eine Tonne	Noun
A Tourist	Tourist	Noun
A Translator	Übersetzer	Noun
A Vegan	Veganer	Noun
A Vegetarian	Vegetarier	Noun
A Vet	Tierärztin	Noun
A Waiter	Kellner	Noun
A Writer	Schriftsteller	Noun
A-Level	das Abitur	Noun
Abandon	Unbekümmertheit	Noun
Abandon	Ungezwungenheit	Noun
Abandonment	Abbruch	Noun
Abandonment	Aufgabe	Noun
Abilities	das Vermögen	Noun
Abilities	Vermögen	Noun
Ability	Anlagen	Noun
Ability	Begabung	Noun
Ability	das Potenzial	Noun
Ability	das Talent	Noun
Ability	das Vermögen	Noun
Ability	die Begabung	Noun
Ability	die Fähigkeit	Noun
Ability	Fertigkeit	Noun
Ability	Fertigkeiten	Noun
Ability	Fähigkeit	Noun
Ability	Intelligenz	Noun
Ability	Kann	Noun
Ability	Können	Noun
Ability	Könnens	Noun
Ability	Potenzial	Noun
Ability	Talent	Noun
Ability	Vermögen	Noun
Ability To Cooperate	die Teamfähigkeit	Noun
Ability To Cooperate	Teamfähigkeit	Noun
Ability To Work In A Team	die Teamfähigkeit	Noun
Ability To Work In A Team	Teamfähigkeit	Noun
Ability To Work Well With Others	die Teamfähigkeit	Noun
Ability To Work Well With Others	Teamfähigkeit	Noun
About	Apropos	Noun
About	Rund	Noun
Abrasion	Schürfwunde	Noun
Abroad	Ausland	Noun
Abs	Bauchmuskel	Noun
Absence	Abwesenheit	Noun
Absent-Mindedness	Abwesenheit	Noun
Absolutely	absolut	Verb
Absolutely	entschieden	Verb
Absolutely	ganz	Verb
Absolutely	unbedingt	Verb
Absolutely	überhaupt	Verb
Abstractly	abstrakt	Adverb
Academic	Wissenschaftler	Noun
Academic	Wissenschaftlerin	Noun
Academic Discipline	Studienfach	Noun
Academic Stress	Schulstress	Noun
Academy	Akademie	Noun
Academy	die Akademie	Noun
Accelerate	erhöhen	Verb
Accent	Akzent	Noun
Accent	Betonung	Noun
Accentuation	Betonung	Noun
Acceptance	Anerkennung	Noun
Acceptance	die Anerkennung	Noun
Acceptance	die Zusage	Noun
Acceptance	Toleranz	Noun
Acceptance	Zusage	Noun
Accepted	akzeptieren	Verb
Accepted	annehmen	Verb
Accepted	aufgenommen	Verb
Accepted	übernehmen	Verb
Access	der Einblick	Noun
Access	der Zugang	Noun
Access	Einblick	Noun
Access	Eingang	Noun
Access	Zugang	Noun
Access Card	Zutrittskarte	Noun
Access Ramp	Rampe	Noun
Accessible Parking Space	Behindertenparkplatz	Noun
Accessory	Accessoire	Noun
Accessory	Zubehör	Noun
Accident	Malheur	Noun
Accident	Unfall	Noun
Accident	Unfalls	Noun
Accident	Unfällen	Noun
Accident	Vorfalls	Noun
Accidentally	versehentlich	Adverb
Accommodated	berücksichtigen	Verb
Accommodated	entsprechen	Verb
Accommodation	der Wohnraum	Noun
Accommodation	Unterbringung	Noun
Accommodation	Unterkunft	Noun
Accommodation	Wohnraum	Noun
Accommodations	Unterkunft	Noun
Accompanying	begleiten	Verb
Accompanying	mit	Verb
Accomplice	Helfer	Noun
Accomplices	Helfer	Noun
Accomplish	absolvierst	Verb
Accomplish	absolviert	Verb
Accomplish	ausführe	Verb
Accomplish	erfüllen	Verb
Accomplish	erreiche	Verb
Accomplish	erreichen	Verb
Accomplish	erreichst	Verb
Accomplish	erreicht	Verb
Accomplish	fertigbekommen	Verb
Accomplish	fertiggebracht	Verb
Accomplish	fertigstelle	Verb
Accomplish	gelang	Verb
Accomplish	gemeistert	Verb
Accomplish	geschafft	Verb
Accomplish	hinbekommen	Verb
Accomplish	hinzubekommen	Verb
Accomplish	leiste	Verb
Accomplish	leisten	Verb
Accomplish	leistest	Verb
Accomplish	leistet	Verb
Accomplish	schaffen	Verb
Accomplish	schaffst	Verb
Accomplish	Schafft	Verb
Accomplish	verwirklichen	Verb
Accomplish	vollbracht	Verb
Accomplish	wirklichen	Verb
Accomplished	erreicht	Verb
Accomplished	gekonnt	Verb
Accomplishment	Ausführung	Noun
Accomplishment	die Fertigstellung	Noun
Accomplishment	die Leistung	Noun
Accomplishment	Fertigstellung	Noun
Accomplishment	Leistung	Noun
Accomplishment	Vollendung	Noun
Accomplishments	die Leistung	Noun
Accomplishments	Leistung	Noun
Accord	der Konsens	Noun
Accord	Einigung	Noun
Accord	Harmonie	Noun
Accord	Konsens	Noun
According	nach	Verb
According	zufolge	Verb
According To	der Laut	Noun
Account	Bankkonto	Noun
Account	Konto	Noun
Account Balance	Kontostand	Noun
Account Number	Kontonummer	Noun
Account Number	Kundennummer	Noun
Accountant	Buchhalter	Noun
Accountant	Buchhalterin	Noun
Accurately	exakt	Adverb
Accusation	Anschuldigung	Noun
Accusation	der Vorwurf	Noun
Accusation	Vorwurf	Noun
Accuse	Zieh	Noun
Accusing	beschuldigen	Verb
Ache	die Kopfschmerzen	Noun
Ache	Kopfschmerzen	Noun
Ache	Magenschmerzen	Noun
Ache	Schmerz	Noun
Ache/am Aching	Magenschmerzen	Noun
Aches	Magenschmerzen	Noun
Achieve	Schafft	Noun
Achievement	die Leistung	Noun
Achievement	Leistung	Noun
Achievements	die Leistung	Noun
Achievements	Leistung	Noun
Acknowledged	erkannt	Verb
Acknowledgment	Anerkennung	Noun
Acknowledgment	die Anerkennung	Noun
Acknowledgment	Rückmeldung	Noun
Acquaintance	Bekannte	Noun
Acquaintance	Bekannter	Noun
Acquaintance	Bekanntschaft	Noun
Acquaintance	die Bekanntschaft	Noun
Acquaintance Circle	Bekanntenkreis	Noun
Acquaintances	Bekannte	Noun
Across From	das Gegenüber	Noun
Act	Akt	Noun
Act	das Handeln	Noun
Act	die Macht	Noun
Act	die Tat	Noun
Act	Gesetz	Noun
Act	Handelt	Noun
Act	Mach	Noun
Act	Tat	Noun
Act	Tatort	Noun
Action	Aktion	Noun
Action	das Geschehen	Noun
Action	die Initiative	Noun
Action	die Tat	Noun
Action	die Wirkung	Noun
Action	geschehen	Verb
Action	Geschehen	Noun
Action	Handelns	Noun
Action	Handlung	Noun
Action	Tat	Noun
Action	Tatort	Noun
Action	Wirkung	Noun
Action Movie	Actionfilm	Noun
Actions	Bewegung	Noun
Actions	die Bewegung	Noun
Activate	auslösen	Verb
Actively	aktiv	Adverb
Activist	Aktivist	Noun
Activists	Aktivist	Noun
Activities	Aktivitäten	Noun
Activity	Action	Noun
Activity	Aktivität	Noun
Activity	die Tätigkeit	Noun
Activity	Onlineaktivität	Noun
Activity	Tätigkeit	Noun
Actor	Schauspieler	Noun
Actor	Schauspielerin	Noun
Actor's	Schauspieler	Noun
Actors	Schauspieler	Noun
Actors'	Schauspieler	Noun
Actress	Schauspielerin	Noun
Acts	das Handeln	Noun
Acts	Gesetz	Noun
Actually	eigentlich	Adverb
Actually	real	Adverb
Actually	sogar	Adverb
Actually	tatsächlich	Adverb
Actually	wirklich	Adverb
Ad	Anzeige	Noun
Ad	die Anzeige	Noun
Ad	Werbung	Noun
Ad's	Anzeige	Noun
Ad's	die Anzeige	Noun
Adapt	adaptiere/adaptier	Verb
Adapt	adaptieren	Verb
Adapt	anpassen	Verb
Adapt	bearbeite	Verb
Adapt	bearbeite/bearbeit	Verb
Adapt	bearbeiten	Verb
Adapt	eignet	Verb
Adapt	einleben	Verb
Adapt	Gewöhnen	Verb
Adapt	Gewöhnst	Verb
Adapt	gewöhnte	Verb
Adapt	sich anpassen	Verb
Adapt	sich gewöhnen	Verb
Adapt	umbauen	Verb
Adapt	umstellen	Verb
Adapt	variiere/variier	Verb
Adapt	variieren	Verb
Adapt	veränderst	Verb
Adaptation	Bearbeitung	Noun
Adapting	anpassen	Verb
Add	geben	Verb
Add	hinzufügen	Verb
Addition	die Ergänzung	Noun
Addition	Ergänzung	Noun
