English	Russian	Latin Letters	Part of Speech
"hurt"	болеть	boletʹ	Noun
"wait A Bit"	подожди	podoždi	Noun
11th	одиннадцатый	odinnadcatyj	Noun
17th	семнадцатый	semnadcatyj	Noun
19th	девятнадцатый	devâtnadcatyj	Noun
20th	двадцатый	dvadcatyj	Noun
3rd	третий	tretij	Noun
7th	седьмой	sedʹmoj	Noun
8th	восьмой	vosʹmoj	Noun
9th	девятый	devâtyj	Noun
? Is It Quiet	тихо	tiho	Noun
? Is The View	вид	vid	Noun
A Bad	плохой	plohoj	Noun
A Bad	плохую	plohuû	Noun
A Bag	пакет	paket	Noun
A Bag	сумка	sumka	Noun
A Balcony	балкон	balkon	Noun
A Ball	мяч	mâč	Noun
A Ballerina	балерина	balerina	Noun
A Bathroom	туалет	tualet	Noun
A Battle	битва	bitva	Noun
A Beach	пляж	plâž	Noun
A Bear	медведь	medvedʹ	Noun
A Beautiful	красивое	krasivoe	Noun
A Beautiful	красивый	krasivyj	Noun
A Beautiful	прекрасный	prekrasnyj	Noun
A Beauty	пре́лесть	prelest'	Verb
A Bed	кровати	krovati	Noun
A Bee	пчела	pčela	Noun
A Better	лучше	lučše	Noun
A Bicycle	велосипед	velosiped	Noun
A Big	большое	bolʹšoe	Noun
A Big	большой	bolʹšoj	Noun
A Big	большую	bolʹšuû	Noun
A Bike	велосипед	velosiped	Noun
A Bird	птица	ptica	Noun
A Bird	птицы	pticy	Noun
A Bit	немного	nemnogo	Noun
A Bit	слегка́	slegka	Noun
A Bit	чуть-чуть	čutʹ-čutʹ	Noun
A Bit	немножко	nemnozhko	Noun
A Bit	слегка	slegka	Noun
A Bit Bigger	побольше	pobolʹše	Noun
A Bit Of	немного	nemnogo	Noun
A Bit Too	бо́льно	bol'no	Adverb
A Black	чёрная	čërnaâ	Noun
A Black	чёрную	čërnuû	Noun
A Black One	чёрная	čërnaâ	Noun
A Blog	блог	blog	Noun
A Blue	синей	sinej	Noun
A Blue	синий	sinij	Noun
A Blue	синюю	sinûû	Noun
A Blue	синяя	sinââ	Noun
A Book	книга	kniga	Noun
A Book	книги	knigi	Noun
A Bottle	бутылка	butylka	Noun
A Bowl	миска	miska	Noun
A Bowl	тарелку	tarelku	Noun
A Box	коробка	korobka	Noun
A Boy	мальчик	malʹčik	Noun
A Boy	мальчика	malʹčika	Noun
A Boyfriend	парень	parenʹ	Noun
A Brother	брат	brat	Noun
A Brown	коричневый	koričnevyj	Noun
A Building	здание	zdanie	Noun
A Business	бизнес	biznes	Noun
A Butterfly	бабочка	babočka	Adverb
A Cafe	кафе	kafe	Noun
A Cake	торт	tort	Noun
A Calendar	календарь	kalendarʹ	Noun
A Camera	фотоаппарат	fotoapparat	Noun
A Car	машина	mašina	Noun
A Car	машиной	mašinoj	Noun
A Car	машины	mašiny	Noun
A Card	карта	karta	Noun
A Carrot	морковь	morkovʹ	Noun
A Cartoon	мультфильм	mulʹtfilʹm	Noun
A Castle	замок	zamok	Noun
A Cat	кот	kot	Noun
A Cat	кошка	koška	Noun
A Cat	кошки	koški	Noun
A Cat	кошку	košku	Noun
A Celestial Body That Emits Light	свети́ло	svetilo	Noun
A Century	век	vek	Noun
A Certain	определённый	opredelennyi	Noun
A Certain	некоторый	nekotoryi	Noun
A Certain	некий	nekii	Noun
A Chair	кресло	kreslo	Noun
A Chair	стул	stul	Noun
A Chair	стулом	stulom	Noun
A Change Of Direction	поворо́т	povorot	Noun
A Child	ребёнка	rebënka	Noun
A Child	ребёнок	rebënok	Noun
A Children's	детский	detskij	Noun
A Church	церковь	cerkovʹ	Noun
A Circle	круг	krug	Noun
A Citizen	гражданин	graždanin	Noun
A City	город	gorod	Noun
A City	городе	gorode	Noun
A Clever	умный	umnyj	Noun
A Cloud	облако	oblako	Noun
A Coat	пальто	palʹto	Noun
A Cold	холодный	holodnyj	Noun
A Color	цвет	cvet	Noun
A Comma	запятая	zapâtaâ	Noun
A Competition	соревнова́ние	sorevnovanie	Noun
A Composer	композитор	kompozitor	Noun
A Computer	компьютер	kompʹûter	Noun
A Concept	поня́тие	ponjatie	Noun
A Concert	концерт	koncert	Noun
A Conman	мошенник	mošennik	Noun
A Construction	постро́йка	postroika	Noun
A Construction Worker	строитель	stroitelʹ	Noun
A Contract	договор	dogovor	Noun
A Conversation	разговор	razgovor	Noun
A Country	страна	strana	Noun
A Cow	корова	korova	Noun
A Crime	преступление	prestuplenie	Noun
A Criminal	преступник	prestupnik	Noun
A Crocodile	крокодил	krokodil	Noun
A Cup	чашка	čaška	Noun
A Cupboard	шкаф	škaf	Noun
A Dacha	дача	dača	Noun
A Dad	папа	papa	Noun
A Daughter	дочери	dočeri	Noun
A Daughter	дочь	dočʹ	Noun
A Day	день	denʹ	Noun
A Deer	олень	olenʹ	Noun
A Delicious	вкусная	vkusnaâ	Noun
A Delicious	вкусный	vkusnyj	Noun
A Depature	вы́езд	vyezd	Noun
A Desert	пустыня	pustynâ	Noun
A Dessert	десерт	desert	Noun
A Dictionary	словарь	slovarʹ	Noun
A Different	другой	drugoj	Noun
A Doctor	врач	vrač	Noun
A Dog	собака	sobaka	Noun
A Dog	собаки	sobaki	Noun
A Dog	собаку	sobaku	Noun
A Dollar	доллар	dollar	Noun
A Door	дверь	dverʹ	Noun
A Dove	голубь	golubʹ	Noun
A Dozen	дюжина	dûžina	Noun
A Dozen Of	дюжина	dûžina	Noun
A Dragon	дракон	drakon	Noun
A Dress	платье	platʹe	Noun
A Drug Store	аптека	apteka	Noun
A Duck	утка	utka	Noun
A Duck	утку	utku	Noun
A European	европейский	evropejskij	Noun
A Face	лицо	lico	Noun
A Factory	завод	zavod	Noun
A Faint	о́бморок	obmorok	Noun
A Fairy Tale	сказка	skazka	Noun
A Fall	осень	osenʹ	Noun
A Familiar	знакомый	znakomyj	Noun
A Family	семья	semʹâ	Adverb
A Famous	знаменитый	znamenityj	Noun
A Famous	известный	izvestnyj	Noun
A Farmer	фермер	fermer	Noun
A Father	папа	papa	Noun
A Few	не́сколько	neskolʹko	Interrogative Pronoun
A Few	немного	nemnogo	Interrogative Pronoun
A Few	несколькими	neskol'kimi	Interrogative Pronoun
A Few	нескольким	neskol'kim	Interrogative Pronoun
A Few	несколько	neskol'ko	Interrogative Pronoun
A Few	нескольких	neskol'kih	Interrogative Pronoun
