English	Spanish	Part of Speech
-Free	sin	Noun
000 Peseta Note	verdes	Noun
1st	primero	Noun
A Balcony	un balcón	Noun
A Banner	una guirnalda	Noun
A Bat	un murciélago	Noun
A Batch	un lote	Noun
A Bath	un baño	Noun
A Bathroom	un cuarto de baño	Noun
A Beach Day	un día playero	Noun
A Beach Spade	una pala	Noun
A Beauty Treatment	un tratamiento de estética	Noun
A Bikini	un bikini	Noun
A Birthday	un cumpleaños	Noun
A Birthday Party	una fiesta de cumpleaños	Noun
A Bit Of	un poco de	Noun
A Bit Too	demasiado	Noun
A Blogger	un bloguero	Noun
A Boat	un barco	Noun
A Bone	un hueso	Noun
A Bottle	una botella	Noun
A Bottle Of Water	una botella de agua	Noun
A Bridesmaid	una dama de honor	Noun
A Bucket	un cubo	Noun
A Bucket	una cubeta	Noun
A Bus	un autobús	Noun
A Cake	una tarta	Noun
A Calculation	un cálculo	Noun
A Cappuccino	un capuchino	Noun
A Car	un coche	Noun
A Card	una tarjeta	Noun
A Certain	determinado	Noun
A Certain	específico	Noun
A Church Wedding	una boda religiosa	Noun
A Civil Wedding	una boda civil	Noun
A Coffin	un ataúd	Noun
A Competitor	un competidor	Noun
A Competitor	una competidora	Noun
A Couple Of	un par de	Noun
A Cover Picture	una foto de portada	Noun
A Decade Ago	Hace una década	Adjective
A Discount	un descuento	Noun
A Disguise	un disfraz	Noun
A Dress	un vestido	Noun
A Facial	una limpieza de cutis	Noun
A Fault	una avería	Noun
A Fever	fiebre	Noun
A Few	algunas	Noun
A Few	algunos	Noun
A Few	cuantos	Noun
A Few	poca	Noun
A Few	unas	Noun
A Few	unos	Noun
A Flight	un vuelo	Noun
A Floater	un flotador	Noun
A Floor	una planta	Noun
A Follower	un seguidor	Noun
A Fondo	layered	Noun
A Forum	un foro	Noun
A Friend List	una lista de amigos	Noun
A Gel Manicure	una manicura de gel	Noun
A Ghost	un fantasma	Noun
A Glass Of Ribera Del Duero Wine	una copa de vino Ribera del Duero	Noun
A Glass Of Rioja Wine	una copa de vino Rioja	Noun
A Greeting Card	una felicitación	Noun
A Group Of	un grupo de	Noun
A Haircut	un corte de pelo	Noun
A Halloween Party	una fiesta de Halloween	Noun
A Hammer	un martillo	Noun
A Handbag	un bolso	Noun
A Hashtag	un hashtag	Noun
A Hashtag	una almohadilla	Noun
A Hat	un sombrero	Noun
A Haunted House	una casa embrujada	Noun
A Haunted House	una casa encantada	Noun
A Head Massage	un masaje craneal	Noun
A Helicopter	un helicóptero	Noun
A Historic Event	un hecho histórico	Noun
A House	una casa	Noun
A Hundred	ciento	Noun
A Jack-O-Lantern	una calabaza de Halloween	Noun
A Kitchen Sink	un fregadero	Noun
A Kitchen Sink	una pila	Noun
A Leak	una filtración	Noun
A Leak	una gotera	Noun
A Little	algo	Noun
A Little	un pelín	Noun
A Little	un poco	Noun
A Little	un poquito	Noun
A Little	un tanto	Noun
A Little Bit	momentito	Noun
A Little Gift	detalle	Noun
A Lorry	un camión	Noun
A Lot	bastante	Noun
A Lot	mucha	Noun
A Lot	muchas	Noun
A Lot	mucho	Noun
A Lot	muchos	Noun
A Lot	muchísima	Noun
A Lot Of	muchas	Noun
A Lot Of	mucho	Noun
A Lot Of	muchos	Noun
A Mask	una mascarilla	Noun
A Massage	un masaje	Noun
A Medal	una medalla	Noun
A Moisturising Treatment	un tratamiento hidratante	Noun
A Moment Ago	ahora	Noun
A Monster	un monstruo	Noun
A Motorbike	una moto	Noun
A Mummy	una momia	Noun
A Nightmare	una pesadilla	Noun
A Number Of	varias	Noun
A Number Of	varios	Noun
A Pair	un par	Noun
A Part Of	una parte de	Noun
A Pedicure	una pedicura	Noun
A Pharmacist	un farmacéutico	Noun
A Pharmacist	una farmacéutica	Noun
A Pharmacy	una farmacia	Noun
A Pickpocket	un carterista	Noun
A Pickpocket	una carterista	Noun
A Piece Of	un fragmento de	Noun
A Piece Of	un pedazo de	Noun
